Parameters: 3508562
Epoch	OA (val)	IoU (val)	F1 (val)	R (val)	P (val)
1		0.9124		0.6557		0.7920		0.7746		0.8103
2		0.9179		0.6855		0.8134		0.8310		0.7965
3		0.9154		0.6797		0.8093		0.8339		0.7861
4		0.9061		0.6692		0.8018		0.8821		0.7350
5		0.9165		0.6659		0.7995		0.7733		0.8275
6		0.9178		0.6605		0.7956		0.7430		0.8561
7		0.9183		0.6843		0.8126		0.8222		0.8031
8		0.9174		0.6779		0.8080		0.8069		0.8091
9		0.9207		0.6687		0.8015		0.7436		0.8691
10		0.9220		0.6850		0.8131		0.7875		0.8403
11		0.9204		0.6938		0.8192		0.8373		0.8019
12		0.9223		0.6910		0.8173		0.8071		0.8277
13		0.9212		0.6783		0.8083		0.7713		0.8491
14		0.9180		0.6622		0.7968		0.7467		0.8540
15		0.9230		0.6989		0.8228		0.8306		0.8151
16		0.9171		0.6609		0.7959		0.7509		0.8466
17		0.9203		0.6681		0.8010		0.7453		0.8657
18		0.9206		0.6810		0.8102		0.7875		0.8343
19		0.9181		0.6591		0.7945		0.7353		0.8642
20		0.9154		0.6483		0.7867		0.7247		0.8601
21		0.9221		0.6691		0.8018		0.7316		0.8868
22		0.9198		0.6664		0.7998		0.7438		0.8648
23		0.9200		0.6739		0.8052		0.7675		0.8466
24		0.9228		0.6796		0.8092		0.7600		0.8653
25		0.9213		0.6758		0.8065		0.7617		0.8569
26		0.9240		0.6985		0.8225		0.8174		0.8276
27		0.9172		0.6696		0.8021		0.7795		0.8260
28		0.9225		0.6941		0.8194		0.8172		0.8217
29		0.9217		0.6781		0.8082		0.7658		0.8554
30		0.9219		0.6732		0.8047		0.7470		0.8720
31		0.9168		0.6592		0.7946		0.7475		0.8481
32		0.9221		0.6825		0.8113		0.7774		0.8482
33		0.9187		0.6798		0.8094		0.8015		0.8174
34		0.9178		0.6561		0.7924		0.7281		0.8690
35		0.9178		0.6653		0.7990		0.7590		0.8434
36		0.9180		0.6593		0.7946		0.7368		0.8623
37		0.9166		0.6419		0.7819		0.6941		0.8952
38		0.9208		0.6676		0.8006		0.7383		0.8745
39		0.9240		0.6855		0.8134		0.7688		0.8635
40		0.9213		0.6774		0.8077		0.7681		0.8516
41		0.9213		0.6725		0.8042		0.7504		0.8663
42		0.9214		0.6710		0.8031		0.7444		0.8718
43		0.9197		0.6637		0.7979		0.7358		0.8714
44		0.9175		0.6540		0.7908		0.7244		0.8706
45		0.9199		0.6807		0.8100		0.7928		0.8279
46		0.9237		0.6896		0.8163		0.7876		0.8471
47		0.9233		0.6897		0.8163		0.7916		0.8427
48		0.9211		0.6713		0.8033		0.7482		0.8673
49		0.9215		0.6735		0.8049		0.7526		0.8651
50		0.9178		0.6538		0.7907		0.7208		0.8755
51		0.9210		0.6713		0.8034		0.7493		0.8659
52		0.9218		0.6786		0.8085		0.7673		0.8544
53		0.9204		0.6794		0.8091		0.7839		0.8360
54		0.9220		0.6761		0.8067		0.7559		0.8650
55		0.9196		0.6661		0.7996		0.7451		0.8627
56		0.9192		0.6594		0.7948		0.7269		0.8766
57		0.9167		0.6562		0.7924		0.7387		0.8545
58		0.9207		0.6757		0.8065		0.7676		0.8495
59		0.9196		0.6637		0.7979		0.7372		0.8694
60		0.9183		0.6643		0.7983		0.7510		0.8519
61		0.9225		0.6800		0.8095		0.7645		0.8602
62		0.9206		0.6793		0.8090		0.7814		0.8387
63		0.9190		0.6578		0.7936		0.7235		0.8786
64		0.9214		0.6793		0.8091		0.7732		0.8484
65		0.9216		0.6832		0.8118		0.7855		0.8400
66		0.9198		0.6682		0.8011		0.7505		0.8590
67		0.9198		0.6765		0.8070		0.7790		0.8372
68		0.9171		0.6621		0.7967		0.7541		0.8444
69		0.9199		0.6856		0.8135		0.8109		0.8161
70		0.9213		0.6887		0.8156		0.8089		0.8225
71		0.9210		0.6788		0.8087		0.7752		0.8451
72		0.9203		0.6714		0.8034		0.7566		0.8564
73		0.9218		0.6786		0.8085		0.7670		0.8548
74		0.9209		0.6827		0.8114		0.7904		0.8336
75		0.9212		0.6798		0.8094		0.7771		0.8444
76		0.9209		0.6765		0.8070		0.7682		0.8500
77		0.9189		0.6729		0.8045		0.7752		0.8360
78		0.9208		0.6774		0.8077		0.7725		0.8462
79		0.9201		0.6713		0.8033		0.7578		0.8546
80		0.9220		0.6857		0.8135		0.7899		0.8386
81		0.9192		0.6747		0.8057		0.7784		0.8351
82		0.9186		0.6656		0.7992		0.7524		0.8523
83		0.9188		0.6731		0.8046		0.7762		0.8352
84		0.9195		0.6717		0.8036		0.7646		0.8468
85		0.9198		0.6755		0.8063		0.7760		0.8392
86		0.9201		0.6758		0.8065		0.7737		0.8422
87		0.9194		0.6744		0.8055		0.7755		0.8380
88		0.9193		0.6758		0.8065		0.7813		0.8334
89		0.9180		0.6669		0.8002		0.7625		0.8418
90		0.9199		0.6775		0.8078		0.7820		0.8353
91		0.9190		0.6726		0.8042		0.7728		0.8383
92		0.9228		0.6856		0.8135		0.7821		0.8475
93		0.9188		0.6677		0.8007		0.7572		0.8495
94		0.9190		0.6748		0.8058		0.7807		0.8325
95		0.9198		0.6829		0.8116		0.8021		0.8212
96		0.9196		0.6786		0.8086		0.7885		0.8297
97		0.9188		0.6709		0.8031		0.7694		0.8398
98		0.9204		0.6779		0.8080		0.7780		0.8404
99		0.9191		0.6747		0.8058		0.7798		0.8336
100		0.9176		0.6652		0.7989		0.7608		0.8411
101		0.9193		0.6736		0.8050		0.7740		0.8386
102		0.9189		0.6696		0.8021		0.7632		0.8452
103		0.9196		0.6759		0.8066		0.7790		0.8362
104		0.9190		0.6711		0.8032		0.7673		0.8426
105		0.9186		0.6723		0.8041		0.7763		0.8339
106		0.9185		0.6758		0.8066		0.7889		0.8251
Test		0.9255		0.7259		0.8412		0.8369		0.8456
