Parameters: 3508562
Epoch	OA (val)	IoU (val)	F1 (val)	R (val)	P (val)
1		0.9788		0.4951		0.6623		0.5100		0.9441
2		0.9830		0.6665		0.7999		0.8353		0.7673
3		0.9846		0.6879		0.8151		0.8357		0.7955
4		0.9812		0.6371		0.7783		0.8096		0.7493
5		0.9853		0.6866		0.8142		0.7913		0.8384
6		0.9793		0.6347		0.7765		0.8844		0.6921
7		0.9855		0.6975		0.8218		0.8181		0.8255
8		0.9854		0.6988		0.8227		0.8336		0.8121
9		0.9809		0.6095		0.7574		0.7308		0.7859
10		0.9847		0.6833		0.8119		0.8081		0.8157
11		0.9852		0.6961		0.8208		0.8306		0.8113
12		0.9823		0.6312		0.7739		0.7444		0.8059
13		0.9849		0.6794		0.8091		0.7843		0.8355
14		0.9807		0.6069		0.7554		0.7309		0.7816
15		0.9843		0.6905		0.8169		0.8569		0.7805
16		0.9833		0.6742		0.8054		0.8480		0.7669
17		0.9839		0.6864		0.8140		0.8652		0.7686
18		0.9839		0.6612		0.7961		0.7721		0.8215
19		0.9855		0.6957		0.8206		0.8158		0.8254
20		0.9842		0.6739		0.8052		0.7996		0.8109
21		0.9848		0.6884		0.8155		0.8260		0.8053
22		0.9841		0.6755		0.8063		0.8128		0.7999
23		0.9862		0.7099		0.8303		0.8303		0.8303
24		0.9856		0.6990		0.8229		0.8190		0.8268
25		0.9871		0.7213		0.8381		0.8219		0.8549
26		0.9851		0.6780		0.8081		0.7686		0.8518
27		0.9849		0.6981		0.8222		0.8562		0.7908
28		0.9859		0.7147		0.8336		0.8673		0.8025
29		0.9849		0.6978		0.8220		0.8571		0.7897
30		0.9855		0.7053		0.8272		0.8512		0.8045
31		0.9865		0.7183		0.8360		0.8417		0.8304
32		0.9854		0.7005		0.8239		0.8392		0.8091
33		0.9850		0.6958		0.8206		0.8399		0.8021
34		0.9840		0.6805		0.8099		0.8346		0.7866
35		0.9823		0.6629		0.7973		0.8538		0.7478
36		0.9870		0.7228		0.8391		0.8352		0.8431
37		0.9867		0.7162		0.8346		0.8248		0.8447
38		0.9850		0.6868		0.8143		0.8060		0.8227
39		0.9860		0.7046		0.8267		0.8174		0.8362
40		0.9845		0.6776		0.8078		0.7984		0.8175
41		0.9858		0.7127		0.8322		0.8654		0.8015
42		0.9858		0.7111		0.8312		0.8593		0.8048
43		0.9869		0.7202		0.8374		0.8262		0.8488
44		0.9861		0.7011		0.8243		0.7986		0.8518
45		0.9857		0.7075		0.8287		0.8505		0.8080
46		0.9846		0.6894		0.8162		0.8389		0.7947
47		0.9862		0.7168		0.8350		0.8602		0.8113
48		0.9843		0.6801		0.8096		0.8177		0.8016
49		0.9880		0.7386		0.8496		0.8313		0.8687
50		0.9857		0.7017		0.8247		0.8256		0.8238
51		0.9858		0.6937		0.8191		0.7871		0.8539
52		0.9867		0.7216		0.8383		0.8438		0.8329
53		0.9849		0.6973		0.8216		0.8547		0.7911
54		0.9874		0.7275		0.8423		0.8284		0.8566
55		0.9852		0.7012		0.8243		0.8539		0.7968
56		0.9837		0.6632		0.7975		0.7894		0.8058
57		0.9865		0.7073		0.8286		0.7978		0.8618
58		0.9847		0.6862		0.8139		0.8199		0.8080
59		0.9864		0.7172		0.8353		0.8438		0.8270
60		0.9833		0.6805		0.8099		0.8706		0.7571
61		0.9869		0.7207		0.8377		0.8300		0.8455
62		0.9843		0.6818		0.8108		0.8255		0.7967
63		0.9868		0.7254		0.8408		0.8562		0.8260
64		0.9851		0.6959		0.8207		0.8370		0.8049
65		0.9857		0.7066		0.8280		0.8474		0.8095
66		0.9863		0.7168		0.8350		0.8485		0.8220
67		0.9869		0.7228		0.8391		0.8356		0.8427
68		0.9879		0.7411		0.8513		0.8494		0.8532
69		0.9862		0.7161		0.8345		0.8513		0.8184
70		0.9867		0.7235		0.8396		0.8518		0.8277
71		0.9840		0.6825		0.8113		0.8456		0.7796
72		0.9865		0.7219		0.8385		0.8576		0.8202
73		0.9866		0.7210		0.8379		0.8492		0.8269
74		0.9871		0.7214		0.8382		0.8225		0.8544
75		0.9848		0.6873		0.8147		0.8184		0.8110
76		0.9850		0.6823		0.8111		0.7920		0.8312
77		0.9833		0.6753		0.8062		0.8533		0.7640
78		0.9874		0.7323		0.8455		0.8473		0.8437
79		0.9871		0.7256		0.8410		0.8349		0.8471
80		0.9866		0.7197		0.8370		0.8472		0.8271
81		0.9873		0.7281		0.8427		0.8340		0.8515
82		0.9837		0.6473		0.7859		0.7363		0.8426
83		0.9873		0.7299		0.8439		0.8436		0.8442
84		0.9866		0.7222		0.8387		0.8575		0.8207
85		0.9861		0.7047		0.8268		0.8169		0.8369
86		0.9863		0.7087		0.8295		0.8161		0.8433
87		0.9867		0.7201		0.8373		0.8396		0.8349
88		0.9859		0.7044		0.8266		0.8225		0.8306
89		0.9870		0.7238		0.8398		0.8365		0.8432
90		0.9862		0.7173		0.8354		0.8574		0.8145
91		0.9853		0.7076		0.8288		0.8710		0.7905
92		0.9875		0.7328		0.8458		0.8410		0.8506
93		0.9879		0.7446		0.8536		0.8651		0.8424
94		0.9844		0.6843		0.8125		0.8273		0.7983
95		0.9859		0.7137		0.8329		0.8606		0.8070
96		0.9856		0.7032		0.8257		0.8362		0.8155
97		0.9859		0.7020		0.8249		0.8172		0.8328
98		0.9868		0.7195		0.8369		0.8286		0.8453
99		0.9865		0.7216		0.8383		0.8566		0.8207
100		0.9866		0.7192		0.8367		0.8398		0.8336
101		0.9867		0.7232		0.8394		0.8514		0.8277
102		0.9863		0.7060		0.8277		0.8083		0.8480
103		0.9858		0.7093		0.8300		0.8507		0.8102
104		0.9860		0.7164		0.8348		0.8657		0.8061
105		0.9865		0.7186		0.8362		0.8454		0.8273
106		0.9867		0.7228		0.8391		0.8541		0.8247
107		0.9870		0.7246		0.8403		0.8366		0.8441
108		0.9873		0.7332		0.8461		0.8587		0.8338
109		0.9873		0.7325		0.8456		0.8515		0.8397
110		0.9874		0.7317		0.8451		0.8445		0.8456
111		0.9870		0.7254		0.8408		0.8438		0.8379
112		0.9866		0.7185		0.8362		0.8384		0.8340
113		0.9867		0.7250		0.8406		0.8576		0.8242
114		0.9861		0.7138		0.8330		0.8524		0.8145
115		0.9871		0.7297		0.8437		0.8523		0.8354
116		0.9876		0.7362		0.8481		0.8507		0.8455
117		0.9870		0.7274		0.8422		0.8484		0.8361
118		0.9871		0.7258		0.8411		0.8395		0.8427
119		0.9871		0.7303		0.8441		0.8591		0.8297
120		0.9866		0.7236		0.8397		0.8612		0.8192
121		0.9872		0.7321		0.8453		0.8581		0.8329
122		0.9871		0.7291		0.8433		0.8518		0.8351
123		0.9872		0.7298		0.8438		0.8504		0.8373
124		0.9874		0.7346		0.8470		0.8562		0.8380
125		0.9872		0.7309		0.8446		0.8533		0.8360
Test		0.9879		0.7446		0.8536		0.8651		0.8424
