Parameters: 3508562
Epoch	OA (val)	IoU (val)	F1 (val)	R (val)	P (val)
1		0.9055		0.3577		0.5269		0.6864		0.4276
2		0.9323		0.4474		0.6182		0.7151		0.5444
3		0.9405		0.4643		0.6341		0.6720		0.6003
4		0.9474		0.5067		0.6726		0.7047		0.6433
5		0.9519		0.4666		0.6363		0.5485		0.7576
6		0.9608		0.5669		0.7236		0.6695		0.7873
7		0.9578		0.5605		0.7183		0.7023		0.7351
8		0.9632		0.5812		0.7351		0.6661		0.8201
9		0.9565		0.5455		0.7059		0.6805		0.7333
10		0.9618		0.5891		0.7414		0.7135		0.7716
11		0.9606		0.5396		0.7009		0.6022		0.8385
12		0.9613		0.5704		0.7265		0.6700		0.7933
13		0.9652		0.6234		0.7680		0.7510		0.7858
14		0.9647		0.5936		0.7450		0.6732		0.8339
15		0.9649		0.6199		0.7654		0.7472		0.7845
16		0.9650		0.5900		0.7421		0.6559		0.8544
17		0.9642		0.6033		0.7526		0.7106		0.7998
18		0.9625		0.5874		0.7401		0.6961		0.7899
19		0.9655		0.6032		0.7525		0.6847		0.8352
20		0.9627		0.6021		0.7516		0.7361		0.7678
21		0.9624		0.5746		0.7298		0.6619		0.8132
22		0.9631		0.5909		0.7429		0.6944		0.7987
23		0.9623		0.5766		0.7314		0.6695		0.8059
24		0.9632		0.5689		0.7252		0.6330		0.8488
25		0.9648		0.6073		0.7557		0.7093		0.8086
26		0.9664		0.6176		0.7636		0.7078		0.8290
27		0.9668		0.6214		0.7665		0.7109		0.8315
28		0.9597		0.5667		0.7234		0.6866		0.7644
29		0.9660		0.5836		0.7370		0.6212		0.9060
30		0.9620		0.6137		0.7606		0.7865		0.7363
31		0.9646		0.6136		0.7605		0.7333		0.7899
32		0.9634		0.5699		0.7260		0.6316		0.8537
33		0.9659		0.6026		0.7521		0.6736		0.8512
34		0.9672		0.6155		0.7620		0.6842		0.8596
35		0.9659		0.5924		0.7440		0.6456		0.8777
36		0.9652		0.5970		0.7476		0.6722		0.8422
37		0.9644		0.5976		0.7481		0.6896		0.8174
38		0.9642		0.5912		0.7431		0.6743		0.8274
39		0.9640		0.6109		0.7584		0.7372		0.7809
40		0.9646		0.5964		0.7471		0.6821		0.8260
41		0.9673		0.6071		0.7555		0.6596		0.8841
42		0.9692		0.6523		0.7896		0.7541		0.8286
43		0.9693		0.6447		0.7840		0.7257		0.8524
44		0.9677		0.6242		0.7686		0.6999		0.8523
45		0.9657		0.6247		0.7690		0.7451		0.7945
46		0.9624		0.6053		0.7541		0.7513		0.7570
47		0.9682		0.6447		0.7840		0.7530		0.8176
48		0.9653		0.6128		0.7599		0.7160		0.8095
49		0.9655		0.6070		0.7554		0.6938		0.8290
50		0.9651		0.6297		0.7728		0.7731		0.7724
51		0.9642		0.6211		0.7663		0.7648		0.7678
52		0.9661		0.5922		0.7439		0.6419		0.8844
53		0.9679		0.6473		0.7859		0.7690		0.8036
54		0.9673		0.6240		0.7684		0.7084		0.8396
55		0.9664		0.6055		0.7543		0.6729		0.8581
56		0.9670		0.6313		0.7740		0.7367		0.8151
57		0.9665		0.6152		0.7618		0.6979		0.8385
58		0.9663		0.6159		0.7623		0.7047		0.8301
59		0.9674		0.6413		0.7815		0.7612		0.8028
60		0.9680		0.6320		0.7745		0.7169		0.8422
61		0.9683		0.6412		0.7814		0.7386		0.8294
62		0.9669		0.6204		0.7657		0.7064		0.8360
63		0.9659		0.6199		0.7654		0.7259		0.8093
64		0.9651		0.6099		0.7577		0.7114		0.8104
65		0.9652		0.6303		0.7732		0.7744		0.7720
66		0.9669		0.6282		0.7717		0.7294		0.8192
67		0.9673		0.6324		0.7748		0.7338		0.8208
68		0.9674		0.6283		0.7717		0.7186		0.8333
69		0.9669		0.6287		0.7721		0.7315		0.8174
70		0.9668		0.6192		0.7648		0.7031		0.8384
71		0.9622		0.5859		0.7389		0.6984		0.7844
72		0.9690		0.6411		0.7813		0.7230		0.8498
73		0.9685		0.6313		0.7740		0.7028		0.8612
74		0.9638		0.6252		0.7694		0.7864		0.7531
75		0.9610		0.5871		0.7398		0.7227		0.7578
76		0.9697		0.6531		0.7902		0.7440		0.8424
77		0.9674		0.6233		0.7679		0.7025		0.8468
78		0.9636		0.6196		0.7651		0.7735		0.7569
79		0.9657		0.6120		0.7593		0.7050		0.8227
80		0.9669		0.6269		0.7706		0.7262		0.8209
81		0.9668		0.6268		0.7706		0.7267		0.8201
82		0.9660		0.6223		0.7672		0.7314		0.8067
83		0.9653		0.5946		0.7458		0.6629		0.8524
84		0.9640		0.5909		0.7428		0.6781		0.8213
85		0.9662		0.6194		0.7650		0.7169		0.8199
86		0.9641		0.5997		0.7498		0.7021		0.8043
87		0.9653		0.6284		0.7718		0.7664		0.7774
88		0.9659		0.6340		0.7760		0.7708		0.7812
89		0.9649		0.5978		0.7483		0.6803		0.8313
90		0.9649		0.6061		0.7548		0.7038		0.8136
91		0.9646		0.5961		0.7469		0.6815		0.8262
92		0.9671		0.6272		0.7709		0.7213		0.8278
93		0.9663		0.6065		0.7550		0.6776		0.8524
94		0.9675		0.6434		0.7830		0.7644		0.8026
95		0.9637		0.6092		0.7571		0.7382		0.7771
96		0.9658		0.6233		0.7680		0.7382		0.8003
97		0.9669		0.6414		0.7815		0.7709		0.7924
98		0.9671		0.6301		0.7731		0.7313		0.8200
99		0.9668		0.6436		0.7831		0.7807		0.7856
100		0.9652		0.6224		0.7673		0.7482		0.7873
101		0.9678		0.6372		0.7784		0.7382		0.8232
102		0.9676		0.6216		0.7666		0.6941		0.8561
103		0.9670		0.6183		0.7641		0.6963		0.8467
104		0.9664		0.6286		0.7719		0.7421		0.8042
105		0.9673		0.6294		0.7725		0.7250		0.8268
106		0.9679		0.6416		0.7817		0.7494		0.8168
107		0.9664		0.6179		0.7638		0.7089		0.8280
108		0.9675		0.6416		0.7817		0.7589		0.8058
109		0.9673		0.6478		0.7863		0.7851		0.7875
110		0.9651		0.6274		0.7710		0.7662		0.7759
111		0.9659		0.6224		0.7673		0.7338		0.8039
112		0.9646		0.5981		0.7485		0.6874		0.8215
113		0.9668		0.6272		0.7709		0.7291		0.8177
114		0.9651		0.6038		0.7529		0.6927		0.8246
115		0.9668		0.6230		0.7677		0.7143		0.8297
116		0.9663		0.6265		0.7703		0.7378		0.8059
117		0.9662		0.6169		0.7631		0.7107		0.8237
118		0.9665		0.6232		0.7679		0.7216		0.8205
119		0.9667		0.6215		0.7666		0.7127		0.8293
120		0.9672		0.6302		0.7732		0.7299		0.8220
121		0.9660		0.6134		0.7604		0.7039		0.8268
122		0.9665		0.6211		0.7663		0.7169		0.8230
123		0.9672		0.6231		0.7678		0.7066		0.8405
124		0.9677		0.6329		0.7752		0.7264		0.8309
125		0.9646		0.6127		0.7599		0.7295		0.7928
126		0.9674		0.6150		0.7616		0.6796		0.8660
127		0.9664		0.6146		0.7613		0.6985		0.8364
128		0.9684		0.6316		0.7742		0.7073		0.8550
129		0.9679		0.6304		0.7733		0.7141		0.8433
130		0.9679		0.6355		0.7771		0.7308		0.8297
131		0.9680		0.6234		0.7680		0.6902		0.8656
132		0.9676		0.6337		0.7758		0.7303		0.8274
133		0.9668		0.6132		0.7602		0.6871		0.8508
134		0.9676		0.6278		0.7714		0.7133		0.8396
135		0.9681		0.6486		0.7868		0.7681		0.8065
136		0.9672		0.6264		0.7703		0.7175		0.8315
137		0.9668		0.6388		0.7796		0.7649		0.7949
138		0.9641		0.5962		0.7470		0.6911		0.8128
139		0.9664		0.6010		0.7508		0.6601		0.8704
140		0.9681		0.6352		0.7769		0.7238		0.8385
141		0.9670		0.6163		0.7626		0.6902		0.8519
142		0.9687		0.6323		0.7748		0.7013		0.8655
143		0.9677		0.6427		0.7825		0.7570		0.8098
144		0.9666		0.6236		0.7682		0.7225		0.8201
145		0.9666		0.6317		0.7743		0.7478		0.8027
146		0.9663		0.6269		0.7707		0.7383		0.8060
147		0.9670		0.6393		0.7799		0.7614		0.7994
148		0.9678		0.6334		0.7755		0.7262		0.8321
149		0.9565		0.5665		0.7233		0.7406		0.7067
150		0.9640		0.6067		0.7552		0.7238		0.7894
151		0.9654		0.6231		0.7678		0.7458		0.7910
152		0.9644		0.6126		0.7597		0.7337		0.7877
153		0.9650		0.6135		0.7604		0.7249		0.7996
154		0.9648		0.6110		0.7585		0.7208		0.8004
155		0.9652		0.6149		0.7615		0.7238		0.8034
156		0.9652		0.6190		0.7646		0.7364		0.7952
157		0.9652		0.6186		0.7643		0.7368		0.7939
158		0.9653		0.6162		0.7625		0.7256		0.8033
159		0.9670		0.6284		0.7718		0.7277		0.8215
160		0.9655		0.6139		0.7607		0.7159		0.8116
161		0.9653		0.6073		0.7557		0.7007		0.8201
162		0.9668		0.6183		0.7641		0.7022		0.8380
163		0.9651		0.6083		0.7564		0.7069		0.8134
164		0.9654		0.6173		0.7634		0.7278		0.8026
165		0.9651		0.6201		0.7655		0.7419		0.7907
166		0.9676		0.6266		0.7704		0.7098		0.8424
167		0.9684		0.6319		0.7744		0.7065		0.8568
168		0.9666		0.6298		0.7728		0.7406		0.8080
169		0.9680		0.6286		0.7719		0.7067		0.8504
170		0.9702		0.6581		0.7938		0.7475		0.8462
171		0.9665		0.6184		0.7642		0.7083		0.8296
172		0.9662		0.6290		0.7723		0.7480		0.7982
173		0.9665		0.6261		0.7701		0.7305		0.8142
174		0.9640		0.5719		0.7277		0.6276		0.8657
175		0.9656		0.6005		0.7504		0.6743		0.8459
176		0.9678		0.6247		0.7690		0.6990		0.8545
177		0.9673		0.6237		0.7682		0.7057		0.8429
178		0.9668		0.6147		0.7614		0.6897		0.8497
179		0.9674		0.6278		0.7713		0.7160		0.8360
180		0.9665		0.6252		0.7694		0.7298		0.8136
181		0.9657		0.6175		0.7635		0.7228		0.8090
182		0.9674		0.6235		0.7681		0.7044		0.8445
183		0.9674		0.6299		0.7729		0.7229		0.8304
184		0.9646		0.6146		0.7613		0.7357		0.7887
185		0.9666		0.6283		0.7717		0.7357		0.8115
186		0.9651		0.6076		0.7559		0.7055		0.8141
187		0.9657		0.6152		0.7618		0.7144		0.8158
188		0.9658		0.6223		0.7672		0.7340		0.8036
189		0.9664		0.6175		0.7635		0.7083		0.8282
190		0.9659		0.6241		0.7685		0.7380		0.8016
191		0.9643		0.6053		0.7542		0.7145		0.7985
192		0.9663		0.6322		0.7747		0.7551		0.7952
193		0.9644		0.6218		0.7668		0.7629		0.7706
194		0.9660		0.6278		0.7714		0.7474		0.7970
195		0.9665		0.6233		0.7679		0.7216		0.8206
196		0.9665		0.6305		0.7734		0.7454		0.8035
197		0.9674		0.6336		0.7757		0.7356		0.8205
198		0.9660		0.6300		0.7730		0.7544		0.7926
199		0.9658		0.6205		0.7658		0.7281		0.8076
200		0.9661		0.6196		0.7651		0.7204		0.8158
201		0.9661		0.6244		0.7688		0.7341		0.8068
202		0.9661		0.6188		0.7645		0.7172		0.8185
203		0.9665		0.6254		0.7695		0.7300		0.8135
204		0.9668		0.6328		0.7751		0.7454		0.8072
205		0.9669		0.6210		0.7662		0.7078		0.8351
206		0.9672		0.6320		0.7745		0.7337		0.8201
207		0.9664		0.6267		0.7705		0.7365		0.8079
208		0.9675		0.6390		0.7797		0.7497		0.8122
209		0.9663		0.6342		0.7762		0.7617		0.7912
210		0.9654		0.6162		0.7625		0.7241		0.8052
211		0.9651		0.6192		0.7648		0.7408		0.7904
212		0.9642		0.6173		0.7634		0.7522		0.7749
213		0.9666		0.6262		0.7702		0.7306		0.8143
214		0.9648		0.6154		0.7619		0.7348		0.7911
215		0.9657		0.6233		0.7679		0.7396		0.7986
216		0.9676		0.6360		0.7775		0.7388		0.8206
217		0.9638		0.5855		0.7386		0.6676		0.8265
218		0.9658		0.6173		0.7634		0.7203		0.8120
219		0.9677		0.6317		0.7743		0.7222		0.8344
220		0.9665		0.6315		0.7741		0.7486		0.8014
221		0.9666		0.6112		0.7587		0.6853		0.8498
222		0.9653		0.6188		0.7645		0.7352		0.7963
